,City Name,Lat,Long,Temperature,Humidity,Cloudiness,Wind Speed
0,geraldton,-31.565693988268727,107.60146705508112,78,69,0,10
1,yima,34.314713858120754,111.83469816773578,33,66,0,7
3,vaini,-26.512565982392815,-178.74110670732173,80,88,75,4
4,ondangwa,-18.491969905825627,16.704312215930713,69,88,90,13
5,itarema,6.921811796135344,-38.149328985165,78,85,86,4
6,kodiak,41.211219521664475,-154.98560443261118,19,52,75,8
7,khatanga,84.68433370033546,95.4724111662332,-16,92,16,5
9,qaanaaq,81.12204964604405,-73.14393882642467,-11,64,17,2
10,victoria,-6.243591373843913,57.07737728278096,51,61,40,5
11,rikitea,-35.375120362457295,-116.3293813368281,79,77,67,10
12,bathsheba,14.49957103449097,-58.29666731131641,78,69,20,10
13,arraial do cabo,-35.94412726847362,-28.964439596361643,77,85,26,19
14,key west,24.120654108405816,-82.16279909675897,72,73,75,6
15,mehamn,82.34610446528103,29.527771766494936,13,75,69,8
16,ushuaia,-86.17807126257176,-37.93309694616025,48,87,90,3
17,albany,-69.47336276076726,117.58897402182743,34,100,90,8
18,bluff,-71.04919737995849,161.76379127016384,64,47,12,5
19,mecca,21.524418160675324,40.12977880642575,64,25,0,3
20,nuuk,61.087962951722346,-55.38338866961173,12,85,75,6
21,kapaa,38.713459312895424,-178.2268518141191,78,61,75,5
22,kingston,44.0358871950333,-76.43470248071094,75,69,40,4
23,thinadhoo,0.05331144706472912,72.91043865642797,81,78,100,14
24,kichera,56.333435600459296,110.46742144532823,2,80,27,5
25,uvat,59.21901309892374,68.25661218741331,0,95,100,6
26,iqaluit,58.502839212222426,-72.73050808142717,1,77,90,8
27,san patricio,9.032104181014674,-112.12200991361013,80,69,5,17
28,punta arenas,-86.17713142730217,-92.92383936434595,51,66,98,14
29,pevek,73.56985266781302,167.01818375016927,-3,88,64,3
30,port alfred,-83.17342846299084,47.10291418710827,59,76,93,5
32,cayenne,11.06479163558528,-40.52805038591683,78,88,90,3
33,bandarbeyla,7.349195774648152,58.12145416862518,76,71,74,26
34,sorgun,40.066063909010495,35.44494958152279,34,63,100,6
35,herat,34.71232807667842,61.86612420295589,27,78,0,10
36,kavieng,14.171603875513426,151.62584386907304,84,75,61,8
37,santa marta,14.18606744392153,-74.72316063338843,86,62,20,13
38,atuona,-0.47983486555435206,-122.04489673877086,81,75,36,11
40,pasni,23.33797209646923,63.33223851089292,56,35,0,25
41,nome,67.53773329268628,-166.20319181606658,-13,69,1,4
42,umm lajj,24.604655302521934,36.87276659881539,58,16,0,3
43,klaksvik,74.47786891364248,-1.2010173273674525,33,71,86,2
44,oranjemund,-31.423871798050115,15.109125486425597,61,80,1,6
45,upernavik,80.83844135420978,-50.2630545758324,-15,93,100,3
46,hithadhoo,-8.545889033916296,75.81604009812463,81,80,100,14
47,luderitz,-30.864871850724654,6.349974572457597,62,59,0,13
48,semirom,31.171073586948523,52.54832633988485,14,47,0,3
49,bilma,20.819213653232524,13.00208931109779,57,13,39,2
50,guerrero negro,19.649351935034943,-125.63038723799144,63,66,7,13
51,schoonhoven,51.951474606831056,4.855906747844472,44,93,90,12
52,burnie,-43.266922251966484,143.8497970635574,69,71,100,5
53,hilo,32.52411878955725,-142.20783383589344,74,61,90,12
54,busselton,-52.17763999416524,82.87505456154719,84,26,0,5
55,cidreira,-42.92922018235739,-33.541615368766855,75,83,37,19
56,mayo,64.6085629659932,-139.15306448543305,42,56,90,6
57,saint-philippe,-64.90369006516968,77.2976034545706,67,64,20,10
58,mataura,-83.41698549483691,-158.8307722504761,68,64,82,0
59,arcata,41.550438912750195,-124.1830376061607,54,87,90,5
60,tuktoyaktuk,86.87248617646435,-143.6027246060773,-22,74,40,12
61,kenai,64.17514739597291,-156.33695884623006,4,70,75,4
63,tiksi,84.2488813650474,127.29350074358155,-21,90,100,3
64,east london,-64.49747092654381,49.10353762278612,66,73,94,5
65,ende,-8.484486441595209,121.72269270267356,83,77,26,1
66,contai,21.64650198825501,87.88368692211509,61,59,0,1
67,nobres,-14.484573669171226,-55.79408490120616,77,84,96,1
68,esna,25.170380457110426,32.375376097471786,48,61,31,6
69,isangel,-20.237442900368322,169.46996481870144,87,62,40,9
70,puerto escondido,5.270541176769655,-102.01437738428687,82,78,20,9
71,codrington,24.97435298100757,-46.303120857374324,60,85,99,11
73,zaoyang,32.4555465386085,112.69501406818551,33,76,0,2
75,kendari,-3.3403524290174147,124.05684278778295,81,85,30,2
76,dongning,44.13152764929612,130.96927274675863,14,80,100,0
77,sovetskiy,71.00970110106448,66.21981869145208,-5,93,99,9
78,yinchuan,37.846048442865154,105.41928313608457,21,87,25,2
79,salinas,-1.6964152899461737,-84.50179893315965,57,77,1,5
80,araouane,18.199419069278704,-6.568444545684258,71,11,0,5
81,nikolskoye,41.42158033784952,166.3368380102915,23,85,90,6
82,new norfolk,-77.48446101248996,131.57289622627098,70,40,20,18
83,avera,-27.508193214249395,-153.09451933182666,48,81,40,5
84,komsomolskiy,66.4539926291695,170.98586493486272,37,74,90,4
85,atambua,-6.712570099099878,126.26427344183963,81,75,90,3
86,barrow,87.56638619629436,-148.41236977315148,-20,68,40,8
87,carnarvon,-25.571211256195156,96.99559278327263,78,88,40,14
88,olinda,-8.551388753549375,-26.996767142968537,82,78,40,8
89,falam,22.187931470387028,94.18107089916992,38,94,0,1
90,severo-kurilsk,45.56333434232161,160.68237327940335,27,90,99,8
91,conde,-12.859894393958825,-35.40827028252471,82,78,20,6
92,ostrovnoy,81.55181428107923,42.43658401679667,4,96,48,5
93,katsuura,20.125781483275404,155.34683647911464,40,93,75,19
94,makakilo city,8.673026127430717,-164.04274753094057,79,54,75,10
95,tripoli,33.57596585552274,12.73623853160538,60,64,0,4
96,guiratinga,-16.62791424623829,-53.12952164549294,73,90,53,3
98,leningradskiy,76.23759177479178,176.11246029350616,-10,96,92,9
99,cherskiy,77.0746024836975,160.32605250036568,-14,89,38,4
100,rhede,51.83852313477476,6.654226933622397,45,87,90,20
101,georgetown,-10.352672017338463,-21.77244315858482,79,78,20,2
102,hermanus,-89.81633958503882,-10.23489981432607,54,96,60,4
103,najran,16.89586548542927,43.58093929040584,44,48,5,1
104,hobart,-79.8247448361387,135.46633587864534,70,40,20,18
105,cape town,-46.22135993268366,7.743060910259118,59,82,72,6
107,fairbanks,62.94889237090493,-145.84393091607637,-23,67,90,2
109,jamestown,-45.60405673465845,-12.942173582400102,30,92,90,10
110,semme,15.07685028266252,-12.924339545376995,45,93,100,18
111,castro,-50.973460289014305,-109.38192224315432,68,75,83,1
112,hanmer springs,-42.89803997446929,173.95078357628273,79,31,59,8
113,lagoa,50.14760393439687,-25.7764913884331,63,94,100,18
114,ribeira brava,16.026295233237164,-24.162084494282198,58,72,20,5
115,coahuayana,3.428406684717544,-110.97591564862265,77,57,5,7
116,lawton,34.70577120198382,-98.43720924635032,58,66,1,12
117,adrar,24.911607291014178,1.7065267617643087,71,23,35,10
118,faratsiho,-19.385289901477506,46.73507543570966,54,97,30,1
119,prince rupert,50.21651530728701,-132.33757449030747,39,86,90,6
120,kidal,17.239459887007285,1.8938696593668851,73,9,100,7
121,lima,-14.450834336182126,-81.17278623607012,77,78,90,14
123,fort morgan,39.468476524235655,-103.72370199488236,33,91,90,5
124,portland,-49.30333693613325,134.23127023940566,47,87,90,10
125,cintalapa,17.12226531147381,-94.14423460423812,72,67,0,3
126,sahuaripa,29.452654833067314,-108.93645494271685,62,38,23,10
127,mpraeso,7.149150483510709,-0.5963944898046805,70,64,42,2
129,longyearbyen,89.01986095679246,19.821220527821254,3,77,69,2
